,cycle,learning_rate,num_filters,loss,accuracy
0,0,0.0005778630530599796,24,0.3025708794593811,0.8925999999046326
1,0,0.0745336804311958,26,0.7162393927574158,0.7601000070571899
2,0,0.00011939555376335789,23,0.40228554606437683,0.8561000227928162
3,0,0.00028912318204657683,17,0.3254659175872803,0.8828999996185303
4,0,0.00868546974780519,12,0.32302460074424744,0.8863999843597412
5,0,0.0006805908701019693,57,0.28275156021118164,0.8970999717712402
6,0,0.026469199458138682,43,0.4575056731700897,0.835099995136261
7,0,0.0002252140953021267,30,0.34476128220558167,0.8748000264167786
8,0,0.0006771443395985802,50,0.28368958830833435,0.8992000222206116
9,0,0.014144221329282084,55,0.35099101066589355,0.878000020980835
10,1,0.0007423755504128563,52,0.2753344178199768,0.9039000272750854
11,1,0.00010745068313544402,24,0.4169689416885376,0.8503999710083008
12,1,0.0006159240785879569,21,0.30057141184806824,0.8956000208854675
13,1,0.0003083405767667071,18,0.33435025811195374,0.8784000277519226
14,1,0.0005330450778852503,22,0.2933211922645569,0.8978999853134155
15,1,0.00019897144562911837,30,0.3462647795677185,0.876800000667572
16,2,0.0006120764596043464,26,0.3059655427932739,0.8877000212669373
17,2,0.0001013690929139079,24,0.42211776971817017,0.8482000231742859
18,2,0.014867254199562408,56,0.3789059817790985,0.8682000041007996
19,2,0.00861624665457914,12,0.33083683252334595,0.8873000144958496
20,3,0.0007613417528325645,51,0.29045891761779785,0.8938000202178955
21,3,0.0005329275853057873,22,0.31081461906433105,0.8895999789237976
22,4,0.0007244466330415439,53,0.2776016891002655,0.9034000039100647
